[2024:04:29::7:59:36] AppMain$main || INFO: Starting conversion of file '.\Input\bnav2-1.zip'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'flower_yellow.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\flower_yellow.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 14,0 - portal_nether
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'portal_nether.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\portal_nether.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 16,0 - ore_gold_stone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_gold_stone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_gold_stone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 17,0 - ore_iron_stone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_iron_stone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_iron_stone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 18,0 - ore_coal_stone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_coal_stone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_coal_stone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 19,0 - ore_lapis_stone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_lapis_stone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_lapis_stone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 20,0 - ore_diamond_stone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_diamond_stone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_diamond_stone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 21,0 - ore_redstone_stone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_redstone_stone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_redstone_stone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 22,0 - mud
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'mud.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\mud.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 23,0 - mud_baked
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'mud_baked.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\mud_baked.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 0,1 - cobbled_stone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'cobbled_stone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\cobbled_stone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 1,1 - bedrock
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'bedrock.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\bedrock.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 2,1 - sand
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'sand.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\sand.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 3,1 - gravel
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'gravel.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\gravel.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 5,1 - polished_stone_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'polished_stone_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\polished_stone_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 6,1 - algae
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'algae.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\algae.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 8,1 - grass_retro_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'grass_retro_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\grass_retro_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 9,1 - chest_planks_oak_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'chest_planks_oak_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\chest_planks_oak_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 10,1 - chest_planks_oak_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'chest_planks_oak_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\chest_planks_oak_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 11,1 - chest_planks_oak_front
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'chest_planks_oak_front.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\chest_planks_oak_front.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 12,1 - mushroom_brown
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'mushroom_brown.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\mushroom_brown.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 13,1 - mushroom_red
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'mushroom_red.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\mushroom_red.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 15,1 - fire
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'fire.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\fire.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 16,1 - ore_gold_basalt
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_gold_basalt.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_gold_basalt.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 17,1 - ore_iron_basalt
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_iron_basalt.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_iron_basalt.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 18,1 - ore_coal_basalt
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_coal_basalt.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_coal_basalt.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 19,1 - ore_lapis_basalt
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_lapis_basalt.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_lapis_basalt.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 20,1 - ore_diamond_basalt
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_diamond_basalt.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_diamond_basalt.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 21,1 - ore_redstone_basalt
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_redstone_basalt.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_redstone_basalt.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 0,2 - moss_overlay
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'moss_overlay.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\moss_overlay.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 1,2 - cobbled_stone_retro
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'cobbled_stone_retro.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\cobbled_stone_retro.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 3,2 - bookshelf_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'bookshelf_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\bookshelf_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 4,2 - cobbled_stone_mossy
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'cobbled_stone_mossy.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\cobbled_stone_mossy.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 5,2 - obsidian
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'obsidian.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\obsidian.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 6,2 - grass_side_overlay
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'grass_side_overlay.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\grass_side_overlay.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 7,2 - tallgrass
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'tallgrass.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\tallgrass.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 9,2 - chest_planks_oak_left_front
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'chest_planks_oak_left_front.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\chest_planks_oak_left_front.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 10,2 - chest_planks_oak_right_front
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'chest_planks_oak_right_front.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\chest_planks_oak_right_front.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 11,2 - workbench_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'workbench_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\workbench_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 12,2 - furnace_stone_idle_front
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'furnace_stone_idle_front.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\furnace_stone_idle_front.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 13,2 - furnace_stone_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'furnace_stone_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\furnace_stone_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 13,2 - dispenser_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'dispenser_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\dispenser_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 14,2 - dispenser_front
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'dispenser_front.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\dispenser_front.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 16,2 - ore_gold_limestone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_gold_limestone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_gold_limestone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 17,2 - ore_iron_limestone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_iron_limestone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_iron_limestone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 18,2 - ore_coal_limestone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_coal_limestone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_coal_limestone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 19,2 - ore_lapis_limestone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_lapis_limestone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_lapis_limestone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 20,2 - ore_diamond_limestone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_diamond_limestone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_diamond_limestone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 21,2 - ore_redstone_limestone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_redstone_limestone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_redstone_limestone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 0,3 - sponge
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'sponge.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\sponge.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 1,3 - glass
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'glass.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\glass.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 3,3 - trapdoor_planks_oak_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'trapdoor_planks_oak_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\trapdoor_planks_oak_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 4,3 - trapdoor_iron_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'trapdoor_iron_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\trapdoor_iron_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 5,3 - trapdoor_glass_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'trapdoor_glass_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\trapdoor_glass_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 6,3 - grass_retro_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'grass_retro_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\grass_retro_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 7,3 - deadbush
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'deadbush.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\deadbush.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 8,3 - fern
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'fern.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\fern.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 9,3 - chest_planks_oak_left_back
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'chest_planks_oak_left_back.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\chest_planks_oak_left_back.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 10,3 - chest_planks_oak_right_back
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'chest_planks_oak_right_back.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\chest_planks_oak_right_back.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 11,3 - workbench_front
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'workbench_front.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\workbench_front.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 12,3 - workbench_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'workbench_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\workbench_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 13,3 - furnace_stone_active_front
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'furnace_stone_active_front.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\furnace_stone_active_front.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 14,3 - furnace_stone_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'furnace_stone_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\furnace_stone_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 14,3 - dispenser_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'dispenser_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\dispenser_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 14,3 - spikes_bottom
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'spikes_bottom.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\spikes_bottom.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 16,3 - ore_gold_granite
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_gold_granite.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_gold_granite.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 17,3 - ore_iron_granite
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_iron_granite.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_iron_granite.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 18,3 - ore_coal_granite
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_coal_granite.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_coal_granite.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 19,3 - ore_lapis_granite
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_lapis_granite.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_lapis_granite.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 20,3 - ore_diamond_granite
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_diamond_granite.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_diamond_granite.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 21,3 - ore_redstone_granite
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ore_redstone_granite.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ore_redstone_granite.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 1,4 - mobspawner
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'mobspawner.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\mobspawner.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 2,4 - block_snow
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'block_snow.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\block_snow.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 3,4 - ice
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'ice.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\ice.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 4,4 - grass_snowy_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'grass_snowy_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\grass_snowy_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 5,4 - cactus_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'cactus_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\cactus_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 6,4 - cactus_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'cactus_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\cactus_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 7,4 - cactus_bottom
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'cactus_bottom.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\cactus_bottom.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 8,4 - block_clay
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'block_clay.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\block_clay.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 9,4 - sugarcane
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'sugarcane.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\sugarcane.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 10,4 - noteblock
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'noteblock.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\noteblock.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 10,4 - jukebox_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'jukebox_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\jukebox_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 11,4 - jukebox_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'jukebox_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\jukebox_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 12,4 - netherrack_igneous
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'netherrack_igneous.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\netherrack_igneous.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 13,4 - soulslate
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'soulslate.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\soulslate.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 14,4 - netherrack_mossy
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'netherrack_mossy.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\netherrack_mossy.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 16,4 - block_iron_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'block_iron_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\block_iron_top.png'
